type_category_name,type_family_name,type_type_name
"Air Terminals","Arup_External_Louvre_Exhaust Air",Standard
"Air Terminals","Arup_External_Louvre_Fresh Air",Standard
"Air Terminals","AT_Exhaust Air_Circ Bell Mouth_Round Connection",Standard
"Air Terminals","AT_Exhaust Air_Cowl_Circ Connection",Standard
"Air Terminals","AT_Exhaust Air_Grille_Circ Connection",Standard
"Air Terminals","AT_Exhaust Air_Grille_Oval Connection",Standard
"Air Terminals","AT_Exhaust Air_Grille_Rect Connection",2500Wx600H
"Air Terminals","AT_Exhaust Air_Grille_Rect Connection",Standard
"Air Terminals","AT_Exhaust Air_Grille_Rect Connection","TYPE 5"
"Air Terminals","AT_Exhaust Air_Grille_Rect Connection1","TYPE 5"
"Air Terminals","AT_Exhaust Air_Placeholder_Circ Connection",Standard
"Air Terminals","AT_Exhaust Air_Placeholder_Oval Connection",Standard
"Air Terminals","AT_Exhaust Air_Placeholder_Rect Connection",Standard
"Air Terminals","AT_Exhaust Air_Placeholder_Rect Connection","TYPE 5"
"Air Terminals","AT_Exhaust Air_Rect Bell Mouth_Flat Top and Bottom_Rect Connection",Standard
"Air Terminals","AT_Exhaust Air_Rect Bell Mouth_Rect Connection",Standard
"Air Terminals","AT_Exhaust Air_Rect Bell Mouth_Round Connection",Standard
"Air Terminals","AT_Exhaust Air_Wall Grille_Plenum Rect_Rect Connection",Standard
"Air Terminals","AT_Exhaust Air_Wall Grille_Plenum Rect_Round Connection",Standard
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","100Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","150Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","200Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","250Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","300Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","350Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","400Dia x 400H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","450Dia x 400H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","450Dia x 400H mm (TYPE 6)"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","500Dia x 450H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","550Dia x 450H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","600Dia x 450H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Side","650Dia x 450H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Top","100Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Top","150Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Top","200Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Top","250Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Top","300Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Top","350Dia x 300H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Top","400Dia x 400H mm"
"Air Terminals","AT_Exhaust Diffuser_Ceiling Circ_Plenum Circ_Round Connection_Top","450Dia x 400H mm"
